Date,day_of_week,is_weekend,festival,aqi,temperature_c,accident_count,patient_count,bed_count,advisory,most_required_med_category,staff_required_total,staff_required_details,Antibiotic,Analgesic,Antipyretic,Respiratory,Cardiovascular,Diabetes,Gastrointestinal,Anti-allergic,ORS,PPE
2019-01-01,1,0,None,214,22,23,234,82,Air Quality Alert: masks recommended; increase respiratory stock,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",68,67,32,23,5,13,12,4,13,195
2019-01-02,2,0,None,163,22,21,233,173,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",44,65,31,27,9,10,14,5,14,204
2019-01-03,3,0,None,147,22,15,177,236,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",39,45,13,29,2,7,8,4,6,154
2019-01-04,4,0,None,196,22,19,178,215,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",37,59,21,21,6,10,8,5,13,168
2019-01-05,5,1,None,109,22,19,191,195,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",41,68,21,18,7,12,12,2,7,166
2019-01-06,6,1,None,282,22,17,211,199,Air Quality Alert: masks recommended; increase respiratory stock,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",41,52,24,26,6,13,14,5,12,176
2019-01-07,0,0,None,141,23,21,189,212,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",60,59,18,16,2,14,8,2,8,140
2019-01-08,1,0,None,137,22,22,237,218,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",58,60,23,40,5,7,11,3,14,195
2019-01-09,2,0,None,179,21,17,229,239,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",49,50,18,35,9,9,20,5,7,223
2019-01-10,3,0,None,194,22,21,167,226,Normal,PPE,39,"{""nurses"":21,""doctors"":9,""support"":9}",50,44,13,15,5,8,10,3,13,134
2019-01-11,4,0,None,231,22,13,212,210,Air Quality Alert: masks recommended; increase respiratory stock,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",42,53,22,26,7,7,13,4,9,181
2019-01-12,5,1,None,171,22,20,180,194,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",50,60,22,23,7,10,10,2,9,184
2019-01-13,6,1,None,147,22,19,248,229,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",42,89,24,28,8,3,12,3,10,226
2019-01-14,0,0,None,202,23,24,248,236,Air Quality Alert: masks recommended; increase respiratory stock,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",44,67,18,29,12,6,14,6,12,200
2019-01-15,1,0,None,252,24,24,244,256,Air Quality Alert: masks recommended; increase respiratory stock,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",64,64,24,26,8,8,14,5,14,230
2019-01-16,2,0,None,121,24,26,208,252,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",69,69,23,22,7,8,13,6,9,168
